"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
LaMelo Ball,,5.8,2.8,2.0,1.8,1.1,,,,,,
Deni Avdija,89.3,5.6,3.2,2.4,2.3,1.2,,,,,,
Al Skinner,88.2,4.9,3.3,2.1,1.8,1.2,0.0,,,,,
Ray Lumpp,86.5,6.7,3.3,2.0,1.9,1.7,,,,,,
Mitchell Wiggins,81.1,5.4,3.5,3.3,2.0,1.2,-0.1,,,,,
Tyler Johnson,78.1,5.8,4.2,2.3,2.0,0.8,0.7,0.7,0.1,,,
Roger Mason,78.1,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1,
Brandon Knight,77.7,4.5,2.8,1.7,1.3,1.1,0.3,0.1,0.0,-0.1,,
Lee Winfield,77.1,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,,,,
Kevin Edwards,77.0,5.1,2.5,2.4,1.6,0.6,0.5,0.3,0.1,-0.1,-0.2,-0.2
Andre Roberson,76.8,4.2,3.4,2.2,2.1,0.8,0.0,-0.1,,,,
