"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Bojan BogdanoviÄ,,6.8,5.4,5.2,5.2,4.2,3.5,2.9,2.4,1.1,0.9,,
Zach LaVine,90.3,7.1,5.9,5.8,5.1,4.0,3.0,2.8,2.6,1.5,0.3,-0.7,
Luke Ridnour,89.9,6.2,5.4,4.4,4.3,4.0,3.4,3.3,2.3,1.2,0.9,0.6,0.1
Al Attles,89.8,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8,0.4,
Spencer Dinwiddie,89.0,6.3,5.7,4.8,4.8,4.1,3.7,3.6,2.8,0.1,0.1,0.1,
Jim Barnett,88.6,6.1,5.4,4.8,4.7,4.1,3.7,2.5,1.5,0.3,0.1,0.0,
John Paxson,88.4,6.0,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6,
Austin Carr,88.2,5.9,5.4,5.3,5.0,3.4,2.9,2.6,2.0,1.0,-0.4,,
Brian Winters,88.1,6.2,6.0,5.5,5.1,5.0,4.2,3.5,2.1,1.1,,,
K.C. Jones,87.9,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3.0,0.8,,,
Ricky Rubio,87.1,6.1,5.9,5.8,5.3,4.9,3.7,3.1,3.0,2.0,1.3,0.7,0.5
