"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Olumide Oyedeji,,0.4,0.4,0.3
Dave Feitl,88.2,0.5,0.4,0.3
Daniel Orton,80.0,0.5,0.3,0.3
Eric Riley,76.8,0.6,0.5,0.4
Steve Scheffler,72.9,0.6,0.6,0.3
Cole Aldrich,65.2,0.6,0.6,0.2
Shawnelle Scott,62.6,0.5,0.2,0.2
Melvin Ely,58.5,0.8,0.4,0.1
Isaac Austin,57.9,0.3,0.3,0.2
Alan Ogg,55.6,0.5,0.3,0.0
Bill Wennington,54.0,0.9,0.5,0.4
