"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Olumide Oyedeji,,0.4,0.4,0.3,,,,
Daniel Orton,80.0,0.5,0.3,0.3,,,,
Micah Potter,74.7,0.4,0.3,0.2,0.0,,,
Shawnelle Scott,73.3,0.5,0.4,0.2,0.2,,,
Dave Feitl,72.8,0.5,0.4,0.3,0.2,0.1,,
Hamed Haddadi,70.8,0.6,0.6,0.4,0.1,0.0,,
Jabari Smith,66.4,0.7,0.5,0.2,0.0,,,
Alan Ogg,55.6,0.5,0.3,0.0,,,,
Mike Smrek,53.4,0.4,0.4,0.1,0.0,0.0,-0.1,-0.2
Mamadou N'Diaye,50.6,0.8,0.6,0.3,0.2,0.0,,
Dave Newmark,49.8,0.8,0.7,0.4,,,,
