Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2006-07,20,GSW,NBA,C,11.0,8.0,267.0,5.1,7.0,0.73,0.0,0.0,5.1,7.0,0.73,0.73,3.0,5.7,0.533,3.6,9.4,13.0,0.9,1.5,3.2,1.7,5.5,13.2,130.0,106.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,26,GSW,NBA,C,3.0,0.0,17.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,6.0,15.0,21.0,3.0,0.0,6.0,3.0,18.0,0.0,98.0,98.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,14.0,8.0,284.0,4.8,6.6,0.73,0.0,0.0,4.8,6.6,0.73,0.73,2.8,5.3,0.533,3.7,9.8,13.5,1.1,1.4,3.4,1.8,6.2,12.4,129.0,105.0,
