"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2010-11,23,NJN,NBA,SF,25.0,9.0,403.0,0.447,10.0,0.971,0.282,0.243,0.146,0.301,0.029,0.46,0.586,0.36,0.467,0.419,0.0,0.739,0.049,4.0,0.667,0.0,0.0,0.0,
2011-12,24,NJN,NBA,SF,7.0,7.0,170.0,0.371,10.7,0.971,0.171,0.343,0.143,0.314,0.029,0.382,0.833,0.167,0.2,0.455,0.0,0.769,0.029,1.0,0.0,,0.0,0.0,
2012-13,25,BRK,NBA,SF,2.0,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,
2013-14,26,SAS,NBA,SF,5.0,1.0,50.0,0.222,14.2,0.778,0.111,0.222,0.111,0.333,0.222,0.286,1.0,0.0,0.0,0.333,0.0,0.5,0.111,1.0,1.0,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,39.0,17.0,623.0,0.415,11.6,0.959,0.245,0.265,0.143,0.306,0.041,0.433,0.639,0.282,0.381,0.422,0.0,0.738,0.048,6.0,0.667,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,36.0,1310.0,0.415,,0.959,0.245,0.265,0.143,0.306,0.041,0.433,0.639,0.282,0.381,0.422,0.0,0.738,0.048,13.0,0.667,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJN (3 Yrs),NJN (3 Yrs),NJN (3 Yrs),NJN (3 Yrs),,34.0,16.0,573.0,0.428,10.3,0.971,0.254,0.268,0.145,0.304,0.029,0.44,0.629,0.297,0.4,0.429,0.0,0.746,0.043,5.0,0.5,0.0,0.0,0.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,5.0,1.0,50.0,0.222,14.2,0.778,0.111,0.222,0.111,0.333,0.222,0.286,1.0,0.0,0.0,0.333,0.0,0.5,0.111,1.0,1.0,0.0,0.0,0.0,
