Season,Team,Lg,Salary
2007-08,New Jersey Nets,NBA,"$1,416,600"
2008-09,New Jersey Nets,NBA,"$1,522,920"
2009-10,New Jersey Nets,NBA,"$1,629,120"
Career,(may be incomplete),,"$4,568,640"
