"('Thru 10 Years', 'Player')","('Thru 10 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Darko MiliÄiÄ,,3.3,1.9,1.2,0.7,0.2,0.2,0.0,-0.1,-0.2,-0.2
Lee Nailon,83.0,3.5,2.2,0.9,0.7,0.5,0.3,,,,
Lou Amundson,82.0,2.9,1.8,1.0,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
Lorenzo Williams,81.8,3.1,1.7,1.1,0.4,0.4,0.3,0.3,,,
Simmie Hill,80.5,3.1,1.6,1.2,1.0,,,,,,
Patrick Williams,80.3,3.5,2.5,1.2,0.9,0.4,,,,,
Brady Walker,80.1,2.8,1.9,1.2,1.0,,,,,,
Barney Cable,79.5,3.3,1.6,0.7,0.4,0.3,0.1,,,,
Marquese Chriss,79.5,3.4,1.8,0.8,0.7,0.0,-0.2,,,,
Joey Graham,78.7,3.0,2.2,1.3,1.1,0.3,0.0,,,,
Tony Bradley,78.6,3.3,2.7,1.3,0.4,0.2,0.1,0.0,,,
