"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2010-11,21,TOR,NBA,PF,65.0,17.0,1602.0,0.576,4.8,1.0,0.571,0.252,0.129,0.048,0.0,0.576,0.667,0.521,0.354,0.389,,0.642,0.172,56.0,,0.0,0.0,
2011-12,22,TOR,NBA,PF,66.0,9.0,1534.0,0.513,6.8,0.997,0.391,0.313,0.2,0.093,0.003,0.515,0.771,0.429,0.269,0.258,0.0,0.715,0.131,40.0,0.0,1.0,0.0,
2012-13,23,2TM,NBA,PF,81.0,28.0,1631.0,0.539,5.7,1.0,0.427,0.309,0.203,0.06,0.0,0.539,0.689,0.45,0.439,0.276,,0.696,0.145,65.0,,0.0,0.0,
2012-13,23,TOR,NBA,C,45.0,24.0,1087.0,0.549,6.7,1.0,0.369,0.322,0.248,0.062,0.0,0.549,0.744,0.459,0.452,0.238,,0.715,0.159,51.0,,0.0,0.0,
2012-13,23,MEM,NBA,PF,36.0,4.0,544.0,0.517,4.6,1.0,0.566,0.28,0.098,0.056,0.0,0.517,0.605,0.425,0.357,0.375,,0.649,0.112,14.0,,0.0,0.0,
2013-14,24,MEM,NBA,PF,63.0,4.0,956.0,0.534,5.3,1.0,0.517,0.252,0.186,0.045,0.0,0.534,0.68,0.342,0.444,0.308,,0.703,0.169,42.0,,0.0,0.0,
2014-15,25,LAL,NBA,PF,79.0,24.0,1840.0,0.601,2.2,1.0,0.721,0.243,0.036,0.0,0.0,0.601,0.686,0.386,0.353,,,0.652,0.181,80.0,,0.0,0.0,
2015-16,26,POR,NBA,PF,81.0,0.0,1684.0,0.611,2.0,1.0,0.748,0.24,0.012,0.0,0.0,0.611,0.659,0.469,0.5,,,0.583,0.131,40.0,,0.0,0.0,6MOY-8
2016-17,27,POR,NBA,PF,46.0,12.0,789.0,0.528,2.5,1.0,0.718,0.275,0.007,0.0,0.0,0.528,0.578,0.385,1.0,,,0.667,0.176,19.0,,0.0,0.0,
2017-18,28,POR,NBA,C,78.0,0.0,1471.0,0.582,2.4,0.997,0.695,0.267,0.031,0.003,0.003,0.584,0.67,0.385,0.444,0.0,0.0,0.576,0.154,39.0,0.0,1.0,0.0,
