Season,Team,Lg,Salary
2010-11,Toronto Raptors,NBA,"$1,919,160"
2011-12,Toronto Raptors,NBA,"$2,063,040"
2012-13,Memphis Grizzlies,NBA,"$2,207,040"
2013-14,Memphis Grizzlies,NBA,"$3,153,860"
2014-15,Los Angeles Lakers,NBA,"$981,084"
2015-16,Portland Trail Blazers,NBA,"$7,000,000"
2016-17,Portland Trail Blazers,NBA,"$6,666,667"
2017-18,Portland Trail Blazers,NBA,"$6,352,531"
2018-19,Brooklyn Nets,NBA,"$4,449,000"
2019-20,Utah Jazz,NBA,"$4,767,000"
2020-21,Minnesota Timberwolves,NBA,"$5,005,350"
2021-22,Cleveland Cavaliers,NBA,"$2,641,691"
Career,(may be incomplete),,"$47,206,423"
