"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Herbert Jones,,6.3,4.6,4.2,0.4
Clifford Robinson,96.0,6.8,4.6,4.2,0.3
Jeff Green,95.3,6.6,4.8,4.2,0.2
Rudy Gay,91.8,6.4,5.0,3.3,0.5
Dino Radja,91.1,5.9,4.5,4.0,-0.2
Pervis Ellison,90.2,6.9,4.0,3.9,0.4
Dwight Powell,90.0,6.6,4.6,3.1,0.6
Brian Grant,89.8,6.3,5.3,4.7,1.0
Happy Hairston,89.5,6.5,5.3,5.1,0.4
John Block,89.4,5.5,5.1,4.1,0.2
Johnny Newman,88.6,6.7,4.5,3.1,0.3
