"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
JiÅÃ­ Welsch,,3.6,1.7,0.8,-0.4
Raja Bell,88.7,3.7,1.7,1.1,-0.1
Ronnie Lester,87.0,3.9,1.7,0.7,0.0
Martell Webster,84.2,3.5,1.3,0.9,0.0
Dennis Hopson,84.1,3.1,1.7,0.5,-0.3
Stan Stutz,84.1,3.9,1.7,1.1,
Ennis Whatley,83.4,3.3,1.9,0.8,0.0
Devin Brown,82.6,3.7,1.7,1.4,-0.1
Ryan Arcidiacono,82.3,3.7,1.4,0.9,0.3
Billy Ray Bates,80.6,3.6,2.4,0.9,0.0
Danuel House Jr.,80.6,3.6,2.3,0.6,0.0
