"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 25_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 28_level_0', 'Awards')"
2006-07,20,GSW,NBA,C,16.0,0.0,119.0,0.313,12.3,1.0,0.156,0.094,0.313,0.438,0.0,0.313,0.6,0.0,0.4,0.214,,0.5,0.031,1.0,,0.0,0.0,
2007-08,21,GSW,NBA,C,24.0,0.0,99.0,0.552,5.8,1.0,0.448,0.31,0.172,0.069,0.0,0.552,0.538,0.444,0.6,1.0,,0.813,0.138,4.0,,0.0,0.0,
2008-09,22,2TM,NBA,C,39.0,3.0,255.0,0.536,10.9,0.976,0.25,0.19,0.214,0.321,0.024,0.549,0.762,0.5,0.389,0.519,0.0,0.778,0.202,16.0,0.0,1.0,0.0,
2008-09,22,BOS,NBA,C,26.0,0.0,108.0,0.516,9.5,1.0,0.226,0.29,0.29,0.194,0.0,0.516,0.714,0.444,0.333,0.667,,0.5,0.194,5.0,,0.0,0.0,
2008-09,22,TOR,NBA,C,13.0,3.0,147.0,0.547,12.2,0.962,0.264,0.132,0.17,0.396,0.038,0.569,0.786,0.571,0.444,0.476,0.0,0.931,0.208,11.0,0.0,1.0,0.0,
2009-10,23,TOR,NBA,C,11.0,0.0,51.0,0.533,9.9,0.933,0.267,0.267,0.267,0.133,0.067,0.571,0.5,0.5,0.5,1.0,0.0,0.625,0.067,1.0,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,90.0,3.0,524.0,0.494,9.9,0.981,0.269,0.2,0.231,0.281,0.019,0.503,0.651,0.438,0.432,0.467,0.0,0.734,0.144,22.0,0.0,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,3.0,477.0,0.494,9.9,0.981,0.269,0.2,0.231,0.281,0.019,0.503,0.651,0.438,0.432,0.467,0.0,0.734,0.144,20.0,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSW (2 Yrs),GSW (2 Yrs),GSW (2 Yrs),GSW (2 Yrs),,40.0,0.0,218.0,0.426,9.1,1.0,0.295,0.197,0.246,0.262,0.0,0.426,0.556,0.333,0.467,0.313,,0.692,0.082,5.0,,0.0,0.0,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,24.0,3.0,198.0,0.544,11.0,0.956,0.265,0.162,0.191,0.338,0.044,0.569,0.722,0.545,0.462,0.522,0.0,0.865,0.176,12.0,0.0,1.0,0.0,
BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),BOS (1 Yr),,26.0,0.0,108.0,0.516,9.5,1.0,0.226,0.29,0.29,0.194,0.0,0.516,0.714,0.444,0.333,0.667,,0.5,0.194,5.0,,0.0,0.0,
