"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Allen Crabbe,,4.3,4.2,3.2,1.3,0.8,0.1,-0.1
Billy Kenville,90.7,4.5,3.9,3.0,1.4,0.5,0.4,
Charles Dudley,86.3,4.6,4.0,3.6,1.6,0.2,-0.1,
Wali Jones,85.9,4.0,4.0,2.5,1.3,0.8,0.5,0.3
Ricky Davis,85.5,4.4,4.2,3.0,2.8,1.1,0.2,0.2
Malik Monk,84.2,3.6,3.5,3.2,1.0,0.7,0.3,0.0
Isaac Okoro,83.9,4.2,4.2,4.2,2.5,0.9,,
Luguentz Dort,83.6,5.6,4.6,2.9,1.4,0.8,0.3,
Paul Hoffman,83.6,4.7,4.1,2.2,1.1,0.8,-0.5,
T.J. Ford,83.1,4.3,4.3,3.3,2.5,1.4,0.7,0.2
Whitey Skoog,82.7,4.1,3.6,2.9,1.9,1.0,0.7,
