"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 26_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2009-10,22,POR,NBA,PF,5.0,0.0,42.0,0.6,11.8,0.933,0.333,0.067,0.133,0.4,0.067,0.643,0.8,1.0,0.5,0.5,0.0,0.667,,0.067,1.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12,24,MEM,NBA,PF,7.0,0.0,49.0,0.364,9.3,1.0,0.364,0.182,0.182,0.273,0.0,0.364,0.75,0.5,0.0,0.0,,0.5,,0.091,1.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-15,27,NOP,NBA,PF,4.0,0.0,75.0,0.818,10.0,1.0,0.455,0.0,0.182,0.364,0.0,0.818,1.0,,1.0,0.5,,0.667,,0.182,2.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,31,SAS,NBA,PF,5.0,0.0,13.0,0.667,18.7,0.333,0.0,0.333,0.0,0.0,0.667,0.0,,0.0,,,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,21.0,0.0,179.0,0.6,12.5,0.925,0.35,0.1,0.15,0.325,0.075,0.595,0.857,0.5,0.5,0.385,0.667,0.636,1.0,0.1,4.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,699.0,0.6,12.5,0.925,0.35,0.1,0.15,0.325,0.075,0.595,0.857,0.5,0.5,0.385,0.667,0.636,1.0,0.1,16.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,7.0,0.0,49.0,0.364,9.3,1.0,0.364,0.182,0.182,0.273,0.0,0.364,0.75,0.5,0.0,0.0,,0.5,,0.091,1.0,,0.0,0.0,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,5.0,0.0,42.0,0.6,11.8,0.933,0.333,0.067,0.133,0.4,0.067,0.643,0.8,1.0,0.5,0.5,0.0,0.667,,0.067,1.0,0.0,0.0,0.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,5.0,0.0,13.0,0.667,18.7,0.333,0.0,0.333,0.0,0.0,0.667,0.0,,0.0,,,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,
NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),NOP (1 Yr),,4.0,0.0,75.0,0.818,10.0,1.0,0.455,0.0,0.182,0.364,0.0,0.818,1.0,,1.0,0.5,,0.667,,0.182,2.0,,0.0,0.0,
