"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Isaiah Hartenstein,,8.1,6.8,5.5,4.6,1.6,1.1,0.5,,
Chandler Parsons,89.6,7.6,7.0,5.5,4.3,3.4,1.1,0.2,0.0,-0.1
Reggie King,87.1,8.3,6.2,4.8,3.4,1.6,0.5,,,
Curtis Perry,85.5,7.6,6.0,5.3,4.8,2.8,1.7,1.3,0.2,
Onyeka Okongwu,84.3,7.2,7.1,4.5,4.2,1.9,,,,
Julian Hammond,84.2,6.7,6.6,5.7,5.1,0.8,,,,
John Shumate,82.3,7.7,6.5,6.3,3.5,0.5,,,,
Trooper Washington,82.1,8.3,6.9,6.3,6.0,3.4,2.2,,,
Sonny Parker,82.0,7.0,6.8,6.2,3.0,2.3,1.6,,,
Gene Banks,81.8,7.9,6.2,5.6,4.3,3.6,3.5,,,
Michael Porter Jr.,80.9,6.9,6.4,6.2,4.3,2.9,-0.2,,,
