Date,Team,Unnamed: 2,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2025-11-23,CHO,@,ATL,"L, 110-113",,12,2,4,0.5,1,1,1.0,0,0,,0,2,2,2,1,0,1,0,5,5.0,0
2025-11-19,CHO,@,IND,"L, 118-127",,3,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-7
2025-11-15,CHO,,OKC,"L, 96-109",,18,4,13,0.308,1,3,0.333,0,0,,0,1,1,5,2,0,2,0,9,5.3,7
2025-11-12,CHO,,MIL,"W, 111-100",,9,1,4,0.25,0,2,0.0,0,0,,0,2,2,2,0,0,0,0,2,1.6,-11
2025-11-10,CHO,,LAL,"L, 111-121",,20,3,6,0.5,2,4,0.5,0,0,,0,3,3,4,0,0,3,3,8,4.5,4
