Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2023-24,25,NYK,NBA,C,5.0,0.0,27.0,2.7,2.7,1.0,0.0,0.0,2.7,2.7,1.0,1.0,4.0,5.3,0.75,4.0,6.7,10.7,1.3,2.7,1.3,0.0,1.3,9.3,
2024-25,26,MIL,NBA,C,5.0,0.0,58.0,3.7,3.7,1.0,0.0,0.0,3.7,3.7,1.0,1.0,1.2,1.9,0.667,6.8,5.6,12.4,0.6,0.0,0.6,3.1,3.1,8.7,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,10.0,0.0,85.0,3.4,3.4,1.0,0.0,0.0,3.4,3.4,1.0,1.0,2.1,3.0,0.714,5.9,5.9,11.9,0.8,0.8,0.8,2.1,2.5,8.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,5.0,0.0,58.0,3.7,3.7,1.0,0.0,0.0,3.7,3.7,1.0,1.0,1.2,1.9,0.667,6.8,5.6,12.4,0.6,0.0,0.6,3.1,3.1,8.7,
NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),NYK (1 Yr),,5.0,0.0,27.0,2.7,2.7,1.0,0.0,0.0,2.7,2.7,1.0,1.0,4.0,5.3,0.75,4.0,6.7,10.7,1.3,2.7,1.3,0.0,1.3,9.3,
