"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2006-07,20,WAS,NBA,PF,2.0,0.0,25.0,0.667,10.4,1.0,0.333,0.167,0.0,0.5,0.0,0.667,1.0,1.0,,0.333,,0.25,0.0,0.0,,,0.0,0.0,
2007-08,21,WAS,NBA,PF,6.0,0.0,89.0,0.429,8.1,0.952,0.381,0.333,0.048,0.19,0.048,0.45,0.625,0.429,0.0,0.25,0.0,0.556,0.143,3.0,0.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,26,BRK,NBA,C,7.0,0.0,138.0,0.5,9.1,1.0,0.362,0.207,0.172,0.259,0.0,0.5,0.571,0.75,0.2,0.4,,0.552,0.069,4.0,,,0.0,0.0,
2013-14,27,BRK,NBA,PF,12.0,0.0,172.0,0.448,5.7,0.966,0.603,0.207,0.086,0.069,0.034,0.464,0.629,0.333,0.0,0.0,0.0,0.5,0.103,3.0,0.5,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,27.0,0.0,424.0,0.476,8.3,0.979,0.462,0.224,0.112,0.182,0.021,0.486,0.621,0.531,0.125,0.308,0.0,0.515,0.091,10.0,0.333,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,1288.0,0.476,8.3,0.979,0.462,0.224,0.112,0.182,0.021,0.486,0.621,0.531,0.125,0.308,0.0,0.515,0.091,30.0,0.333,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),BRK (2 Yrs),,19.0,0.0,310.0,0.474,7.4,0.983,0.483,0.207,0.129,0.164,0.017,0.482,0.607,0.542,0.133,0.316,0.0,0.527,0.086,7.0,0.5,0.0,0.0,0.0,
WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),WAS (2 Yrs),,8.0,0.0,114.0,0.481,9.3,0.963,0.37,0.296,0.037,0.259,0.037,0.5,0.7,0.5,0.0,0.286,0.0,0.462,0.111,3.0,0.0,,0.0,0.0,
