Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,22.0,PHO,NBA,C,1,0,19:52,3,11,0.273,0,0,,0,2,0.0,4,9,2,1,0,1,2,6
2006-07,24.0,PHO,NBA,C,1,0,21:21,14,22,0.636,0,1,0.0,1,1,1.0,6,9,3,1,2,1,5,29
2007-08,25.0,PHO,NBA,C,1,0,23:07,8,11,0.727,1,2,0.5,1,3,0.333,0,5,0,1,1,1,2,18
2008-09,26.0,PHO,NBA,PF,1,1,24:36,7,10,0.7,0,0,,5,6,0.833,3,6,0,0,0,2,1,19
2009-10,27.0,PHO,NBA,PF,1,1,19:57,5,10,0.5,0,0,,2,2,1.0,3,10,0,1,0,2,0,12
2010-11,28.0,NYK,NBA,C,1,1,28:04,11,20,0.55,1,2,0.5,6,6,1.0,3,6,2,0,1,1,0,29
Career,,,NBA,,6,3,137,48,84,0.571,2,5,0.4,15,20,0.75,19,45,7,4,4,8,10,113
