"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Ike Diogu,,2.6,1.5,1.0,0.7,0.7,0.0
Rory White,90.4,2.6,1.5,1.0,1.0,0.4,
George Lee,85.4,2.6,1.7,1.2,0.6,0.4,0.1
Darius Miller,83.6,3.0,1.6,0.8,0.6,0.5,-0.1
Juancho HernangÃ³mez,80.4,3.0,1.8,1.1,0.9,0.9,0.4
Scott Hastings,80.2,2.1,1.3,1.0,0.8,0.4,0.1
Lou Amundson,79.9,2.9,1.8,1.0,0.6,0.1,0.1
Jeremy Evans,79.5,2.8,1.6,1.3,0.9,0.9,0.6
Keita Bates-Diop,79.2,2.7,1.6,1.3,1.2,0.3,0.3
Jeff Ayres,78.9,2.4,1.3,1.2,1.0,0.3,0.2
Mark Madsen,78.8,2.7,1.9,1.1,1.1,0.8,0.6
