"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Ike Diogu,,2.6,1.5,1.0,0.7,0.7,0.0,,,,
Rory White,90.4,2.6,1.5,1.0,1.0,0.4,,,,,
Chris Crawford,86.8,2.7,1.3,0.9,0.6,0.6,0.2,0.1,,,
George Lee,84.1,2.6,1.7,1.2,0.6,0.4,0.1,-0.1,,,
Darius Miller,83.6,3.0,1.6,0.8,0.6,0.5,-0.1,,,,
Mark Strickland,80.7,2.8,2.2,1.0,0.6,0.5,0.0,0.0,0.0,,
Shawne Williams,80.4,2.5,1.9,1.4,0.7,0.7,0.0,-0.4,,,
Lou Amundson,79.9,2.9,1.8,1.0,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
Jeremy Evans,79.5,2.8,1.6,1.3,0.9,0.9,0.6,0.0,,,
Keita Bates-Diop,79.2,2.7,1.6,1.3,1.2,0.3,0.3,,,,
Jeff Ayres,78.9,2.4,1.3,1.2,1.0,0.3,0.2,,,,
