"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Eric Maynor,,1.9,1.5,0.2,0.1,-0.4
Donald Sloan,81.2,2.0,2.0,0.3,0.1,-0.3
Steve Bracey,79.3,2.1,1.5,0.3,,
Quinn Cook,78.4,1.8,1.6,0.3,0.2,0.2
Richie Regan,73.4,1.6,1.5,0.4,,
Lloyd Daniels,73.2,1.8,1.1,0.2,0.1,0.0
Caleb Houstan,73.0,1.8,1.5,0.7,,
Andrew Harrison,72.9,1.7,1.6,-0.1,,
Fred LaCour,72.2,1.7,1.7,-0.1,,
Sidney Lowe,70.8,1.7,1.5,0.5,0.3,
Kenny Rollins,67.6,2.6,1.5,0.1,,
