"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Donte DiVincenzo,,6.6,4.3,4.2,3.9,3.6,0.7,0.6
Rory Sparrow,89.6,5.6,4.3,4.2,4.2,3.7,1.0,-0.1
Ramon Sessions,88.8,5.6,4.4,4.3,3.7,2.9,1.1,0.7
Terance Mann,88.7,5.5,4.3,4.2,3.7,3.0,0.8,
Kevin Grevey,88.1,5.8,4.4,3.6,3.4,3.3,0.7,0.1
Kyle Korver,88.0,6.6,4.6,4.6,4.2,3.7,2.6,1.0
Pooh Richardson,87.5,5.9,4.4,4.1,4.0,3.8,2.1,1.4
Monte Morris,86.9,6.2,5.4,4.2,3.8,2.9,1.2,0.2
Eric Bledsoe,86.3,7.0,5.3,4.1,3.7,2.5,0.3,0.2
Travis Best,86.2,7.2,5.1,4.1,3.4,3.3,2.1,0.7
Don Ohl,86.2,5.1,4.5,4.4,4.1,3.9,1.2,0.8
