"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Position Estimate', 'PG%')","('Position Estimate', 'SG%')","('Position Estimate', 'SF%')","('Position Estimate', 'PF%')","('Position Estimate', 'C%')","('+/- Per 100 Poss', 'OnCourt')","('+/- Per 100 Poss', 'On-Off')","('Turnovers', 'BadPass')","('Turnovers', 'LostBall')","('Fouls Committed', 'Shoot')","('Fouls Committed', 'Off.')","('Unnamed: 19_level_0', 'Shoot')","('Misc.', 'PGA')","('Misc.', 'And1')","('Misc.', 'Blkd')","('Unnamed: 23_level_0', 'Awards')"
2000-01,25,TOR,NBA,C,3.0,0.0,10.0,0.0,0.0,0.0,0.0,100.0,-5.0,-7.6,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
2001-02,26,TOR,NBA,C,5.0,0.0,46.0,0.0,0.0,0.0,0.0,100.0,-6.0,-5.5,0.0,1.0,1.0,0.0,5.0,0.0,1.0,1.0,
2002-03,27,TOR,NBA,C,22.0,8.0,364.0,0.0,0.0,0.0,0.0,100.0,-3.7,3.3,2.0,9.0,27.0,3.0,22.0,17.0,5.0,8.0,
2003-04,28,2TM,NBA,C,28.0,1.0,366.0,0.0,0.0,0.0,11.0,89.0,-3.6,0.9,4.0,7.0,27.0,3.0,23.0,0.0,3.0,12.0,
2003-04,28,DAL,NBA,C,3.0,0.0,7.0,0.0,0.0,0.0,0.0,100.0,54.5,49.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
2003-04,28,ATL,NBA,C,25.0,1.0,359.0,0.0,0.0,0.0,11.0,89.0,-4.8,0.0,3.0,7.0,26.0,3.0,23.0,0.0,3.0,12.0,
2004-05,29,LAC,NBA,C,11.0,0.0,72.0,0.0,0.0,0.0,17.0,83.0,-18.5,-18.0,0.0,0.0,9.0,0.0,4.0,2.0,1.0,3.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,69.0,9.0,858.0,0.0,0.0,0.0,6.0,94.0,-5.1,-0.1,6.0,17.0,65.0,6.0,55.0,19.0,10.0,24.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,11.0,1020.0,0.0,0.0,0.0,6.0,94.0,-5.1,-0.1,7.0,20.0,77.0,7.0,65.0,23.0,12.0,29.0,
,,,,,,,,,,,,,,,,,,,,,,,
TOR (3 Yrs),TOR (3 Yrs),TOR (3 Yrs),TOR (3 Yrs),,30.0,8.0,420.0,0.0,0.0,0.0,0.0,100.0,-4.0,2.0,2.0,10.0,29.0,3.0,28.0,17.0,6.0,9.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,25.0,1.0,359.0,0.0,0.0,0.0,11.0,89.0,-4.8,0.0,3.0,7.0,26.0,3.0,23.0,0.0,3.0,12.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,11.0,0.0,72.0,0.0,0.0,0.0,17.0,83.0,-18.5,-18.0,0.0,0.0,9.0,0.0,4.0,2.0,1.0,3.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,3.0,0.0,7.0,0.0,0.0,0.0,0.0,100.0,54.5,49.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
