"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2002-03,22,MEM,NBA,PF,12.0,0.0,72.0,0.3,5.9,1.0,0.5,0.2,0.2,0.1,0.0,0.3,0.5,0.0,0.25,0.0,0.667,0.05,0.0,0.0,0.0,
2003-04,23,3TM,NBA,PF,32.0,3.0,256.0,0.273,6.1,1.0,0.636,0.152,0.091,0.121,0.0,0.273,0.286,0.4,0.0,0.25,0.444,0.03,1.0,0.0,0.0,
2003-04,23,PHO,NBA,PF,1.0,0.0,6.0,0.0,7.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,
2003-04,23,ORL,NBA,PF,1.0,0.0,4.0,0.5,7.4,1.0,0.0,0.5,0.5,0.0,0.0,0.5,,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,
2003-04,23,TOR,NBA,C,30.0,3.0,246.0,0.267,3.9,1.0,0.7,0.1,0.067,0.133,0.0,0.267,0.286,0.333,0.0,0.25,0.375,0.033,1.0,0.0,0.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,44.0,3.0,328.0,0.283,6.1,1.0,0.585,0.17,0.132,0.113,0.0,0.283,0.355,0.222,0.143,0.167,0.533,0.038,1.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,6.0,611.0,0.283,6.1,1.0,0.585,0.17,0.132,0.113,0.0,0.283,0.355,0.222,0.143,0.167,0.533,0.038,2.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),TOR (1 Yr),,30.0,3.0,246.0,0.267,3.9,1.0,0.7,0.1,0.067,0.133,0.0,0.267,0.286,0.333,0.0,0.25,0.375,0.033,1.0,0.0,0.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,12.0,0.0,72.0,0.3,5.9,1.0,0.5,0.2,0.2,0.1,0.0,0.3,0.5,0.0,0.25,0.0,0.667,0.05,0.0,0.0,0.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,1.0,0.0,4.0,0.5,7.4,1.0,0.0,0.5,0.5,0.0,0.0,0.5,,1.0,0.0,,1.0,0.0,0.0,0.0,0.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,1.0,0.0,6.0,0.0,7.1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,
