"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Sam Merrill,,3.3,2.8,0.5,0.2,0.0
Curly Armstrong,89.5,3.5,3.1,0.6,,
Terry Furlow,88.3,3.3,2.8,1.1,0.0,
Ron Sobie,85.5,3.6,2.6,0.9,0.1,
Miles McBride,85.4,3.6,3.2,0.7,0.2,
Keith Jennings,82.2,4.2,2.9,0.6,,
Billy Ray Bates,81.0,3.6,2.4,0.9,0.0,
Kevin Porter Jr.,78.5,2.9,2.2,0.8,0.3,0.0
George Karl,77.1,3.4,3.3,1.3,0.0,-0.2
Louie Nelson,76.9,2.9,2.3,1.1,0.0,0.0
Earl Tatum,75.9,4.4,2.6,0.7,0.0,
