"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Jordan Hamilton,,1.6,0.8,0.3,0.2,0.1,
Mike Flynn,83.4,1.7,0.8,0.3,,,
John Jenkins,82.0,1.7,0.9,0.2,0.2,0.0,-0.1
Damyean Dotson,76.9,1.5,0.9,0.6,0.0,0.0,
Terence Stansbury,75.9,1.5,0.6,0.3,,,
Sean Kilpatrick,75.6,1.4,1.0,0.1,0.1,,
Jared Butler,74.6,1.4,0.6,0.4,0.1,,
Saben Lee,74.4,1.5,0.9,0.7,0.4,,
Bubbles Hawkins,74.0,1.9,0.6,0.3,0.1,,
Steve Alford,73.6,1.4,0.9,0.6,0.3,,
Lloyd Daniels,72.9,1.8,1.1,0.2,0.1,0.0,
