"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Charles Bassey,,1.3,1.1,0.8,0.7
Luke Kornet,92.7,1.4,1.1,0.7,0.5
Aaron Gray,90.8,1.3,1.1,0.9,0.8
John Lambert,87.9,1.5,1.0,0.9,0.7
Walt Davis,82.0,1.6,0.9,0.9,0.8
Bill Wennington,80.5,1.3,0.9,0.5,0.4
Rickey Brown,79.2,1.8,0.9,0.9,0.7
Ryan Hollins,78.2,1.2,1.1,1.0,0.2
Dick Cunningham,74.8,1.2,1.0,1.0,0.0
Jermaine O'Neal,72.7,2.1,1.2,0.8,0.8
Jim Krebs,69.7,1.5,1.3,1.3,1.2
