"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Nassir Little,,1.7,1.1,0.7,0.7,0.6
Henry Walker,88.1,1.9,1.1,0.9,0.5,0.5
Pete Verhoeven,84.8,2.1,1.2,0.8,0.7,0.4
Bob Portman,79.6,1.9,1.2,0.8,0.5,
Tom Hammonds,79.5,2.2,0.8,0.8,0.6,0.5
Darvin Ham,79.2,1.7,1.2,0.9,0.9,0.1
Semi Ojeleye,79.2,1.9,1.2,1.2,0.7,0.2
Julian Wright,78.4,1.7,0.8,0.8,0.6,
Byron Houston,77.9,1.8,0.9,0.7,0.5,
Timoth̩ Luwawu-Cabarrot,77.9,1.7,0.8,0.8,0.3,0.2
Chuma Okeke,77.9,2.2,1.3,0.7,0.6,0.3
