"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', '3P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', '3P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 24_level_0', 'Awards')"
2009-10,22,CHI,NBA,PF,4.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,225.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,26,MEM,NBA,SF,3.0,0.0,28.0,0.333,0.3,0.4,0.4,0.7,0.49,0.667,0.333,73.0,62.0,111.0,80.0,93.0,91.0,235.0,128.0,
2014-15,27,TOR,NBA,PF,2.0,0.0,12.0,0.333,0.333,,0.333,0.0,0.231,1.0,0.0,74.0,69.0,,67.0,0.0,43.0,366.0,0.0,
2015-16,28,TOR,NBA,PF,10.0,0.0,98.0,0.48,0.5,0.444,0.56,0.667,0.57,0.12,0.36,106.0,102.0,126.0,111.0,88.0,105.0,43.0,126.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,30,MIA,NBA,PF,5.0,5.0,161.0,0.548,0.552,0.538,0.631,0.643,0.644,0.333,0.31,119.0,108.0,149.0,121.0,84.0,116.0,132.0,92.0,
,,,,,,,,,,,,,,,,,,,,,,,,
2023-24,36,IND,NBA,PF,1.0,0.0,1.0,,,,,0.5,0.568,,,,,,,64.0,98.0,,,
2024-25,37,IND,NBA,PF,5.0,0.0,18.0,0.6,0.75,0.0,0.6,0.5,0.595,0.4,0.2,128.0,138.0,0.0,110.0,64.0,103.0,165.0,47.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,30.0,5.0,338.0,0.474,0.485,0.448,0.542,0.541,0.553,0.389,0.305,103.0,96.0,125.0,106.0,71.0,100.0,139.0,101.0,
,,,,,,,,,,,,,,,,,,,,,,,,
TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),TOR (2 Yrs),,12.0,0.0,110.0,0.452,0.455,0.444,0.516,0.222,0.486,0.29,0.29,100.0,93.0,126.0,103.0,29.0,90.0,106.0,102.0,
IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),,6.0,0.0,19.0,0.6,0.75,0.0,0.6,0.5,0.592,0.8,0.2,127.0,138.0,0.0,110.0,64.0,103.0,165.0,47.0,
MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,5.0,5.0,161.0,0.548,0.552,0.538,0.631,0.643,0.644,0.333,0.31,119.0,108.0,149.0,121.0,84.0,116.0,132.0,92.0,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,4.0,0.0,20.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,225.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,3.0,0.0,28.0,0.333,0.3,0.4,0.4,0.7,0.49,0.667,0.333,73.0,62.0,111.0,80.0,93.0,91.0,235.0,128.0,
