"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Devonte' Graham,,3.4,3.4,2.8,2.5,0.5,0.1
Greivis VÃ¡squez,90.3,3.8,3.6,2.8,2.3,0.5,-0.3
Bob Harrison,88.9,3.5,3.3,2.9,2.2,0.0,-0.4
Kevin Loughery,88.4,3.6,3.0,2.6,2.5,0.1,-0.3
Mike McGee,87.3,3.2,3.0,2.8,1.9,0.2,0.2
Pat Connaughton,87.2,3.9,3.5,3.4,2.5,0.6,-0.2
Gerald Henderson,87.1,3.6,3.6,3.3,2.4,1.0,0.4
Bill Gabor,86.7,3.5,2.9,2.8,1.5,0.5,0.0
Darrell Griffith,86.7,3.5,3.5,2.8,2.5,2.1,0.4
Ayo Dosunmu,86.5,4.1,3.0,2.9,2.5,,
Joe Hamilton,85.5,4.1,2.9,2.9,2.2,0.2,0.2
