"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Greg Oden,,4.6,2.2,0.5,,
Tom Hoover,88.8,4.4,2.6,0.4,0.1,0.0
Mike Sojourner,88.7,4.7,2.7,0.9,,
Jamie Feick,88.0,4.8,2.2,0.9,0.2,0.2
Ed Johnson,85.1,5.1,2.4,1.0,,
Craig Raymond,83.8,4.7,1.7,1.0,0.0,0.0
Rich Niemann,76.4,4.4,1.4,1.2,0.2,
Lee Knorek,76.3,5.1,2.5,1.7,0.0,
Lucas Nogueira,74.9,3.7,1.6,0.7,0.0,
Mark Williams,74.0,4.7,2.8,2.1,,
Howie Schultz,70.6,3.0,2.0,0.6,,
