"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Isaac Bonga,,1.8,0.1,0.0,-0.1
John Kuester,83.4,1.9,0.1,0.0,
Bobby Wilson,81.1,1.6,0.2,0.0,-0.1
Davon Reed,78.5,1.6,0.1,0.1,-0.3
Bernard Robinson,74.9,1.7,0.3,0.1,
Tony Dumas,72.9,1.6,0.0,0.0,-0.3
Travis Mays,67.0,2.1,0.3,0.0,
Ryan Rollins,66.6,1.7,0.3,-0.3,
Stan Noszka,65.8,1.8,0.4,-0.2,
Cliff Barker,62.0,2.2,0.1,-0.2,
Orlando Johnson,61.9,1.5,0.1,-0.2,
