Season,Team,Lg,Salary
2012-13,Orlando Magic,NBA,"$1,731,960"
2013-14,Orlando Magic,NBA,"$1,809,840"
2014-15,Orlando Magic,NBA,"$1,887,840"
2015-16,Portland Trail Blazers,NBA,"$2,894,059"
2016-17,Portland Trail Blazers,NBA,"$8,988,764"
2017-18,Portland Trail Blazers,NBA,"$10,162,922"
2018-19,Portland Trail Blazers,NBA,"$10,837,079"
2019-20,New York Knicks,NBA,"$11,511,234"
2020-21,Sacramento Kings,NBA,"$3,623,000"
2021-22,Sacramento Kings,NBA,"$4,347,600"
2022-23,Houston Rockets,NBA,"$4,564,980"
Career,(may be incomplete),,"$62,359,278"
