"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Malik Monk,,3.6,3.5,3.2,2.8,1.0,0.7,0.3,0.0,,,
Adrian Griffin,89.6,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0.0,,
Eric Money,88.7,4.2,3.6,3.3,2.7,0.6,0.3,,,,,
Max Strus,87.0,3.9,3.6,3.4,3.4,0.9,0.0,,,,,
Whitey Skoog,85.0,4.1,3.6,2.9,1.9,1.0,0.7,,,,,
Billy McKinney,84.7,3.4,3.3,3.0,2.7,2.3,0.9,0.1,,,,
T.J. Ford,84.3,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,,,
Devonte' Graham,84.1,3.4,3.4,2.8,2.5,0.5,0.1,,,,,
Kenrich Williams,83.7,3.6,3.3,2.8,2.5,1.8,1.2,0.9,,,,
Keldon Johnson,82.7,4.9,3.3,3.2,3.0,1.3,1.1,,,,,
Mike Dunleavy,81.8,3.4,3.1,3.0,2.6,1.4,1.4,1.0,0.2,0.1,0.0,-0.1
