"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Mouhamed Sene,,0.2,0.2,0.0,
Joe Cooper,63.5,0.2,0.1,0.0,
Tom Riker,63.5,0.2,0.2,0.0,
Vernon Carey Jr.,44.5,0.2,0.1,0.0,
Rich King,43.8,0.2,0.1,0.0,-0.1
Patrick O'Bryant,41.6,0.3,0.2,0.0,0.0
Robert Werdann,41.3,0.2,0.0,-0.1,
Dan O'Sullivan,40.0,0.1,0.1,0.0,0.0
Paul Davis,31.0,0.2,0.2,0.0,0.0
Matt Fish,22.4,0.4,0.2,0.0,
Ruben Boumtje-Boumtje,17.9,0.2,0.0,0.0,
