Season,Team,Lg,Salary
2022-23,Charlotte Hornets,NBA,"$1,075,000"
2022-23,Charlotte Hornets,NBA,(TW)
2023-24,Charlotte Hornets,NBA,"$1,719,864"
2024-25,Portland Trail Blazers,NBA,(TW)
Career,(may be incomplete),,"$2,794,864"
