"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Bryce McGowens,,0.6,0.1,-0.1
Phil Pressey,74.8,0.8,0.1,-0.1
Clay Johnson,73.6,0.6,0.1,0.0
Wendell Moore Jr.,70.3,0.7,0.1,0.1
John Lucas III,69.7,0.6,0.0,-0.1
Othyus Jeffers,69.6,0.7,0.1,0.1
Tom Ingelsby,69.3,0.7,0.1,0.0
Paul Watson,68.1,0.6,0.2,0.0
Carl Thomas,67.4,0.7,0.0,0.0
Paul McCracken,67.1,0.5,0.0,0.0
Bryan Warrick,66.7,0.5,0.1,0.0
