"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
Nate Robinson,,5.9,5.9,3.2,3.2,2.8,2.2,1.8,1.5,1.1,0.3,0.0,,,
Lester Conner,89.2,6.2,5.9,3.7,2.8,2.7,2.7,2.1,0.8,0.7,0.5,0.3,0.0,,
Bimbo Coles,88.4,5.7,5.0,3.2,3.0,2.8,2.7,2.3,1.1,0.9,0.5,0.4,0.0,0.0,-0.1
Jeremy Lamb,88.2,5.3,4.9,3.3,2.7,2.7,2.7,2.1,1.6,1.2,0.2,,,,
Craig Hodges,87.8,6.0,5.3,4.3,2.9,2.6,2.4,1.7,0.8,0.8,0.5,,,,
Blue Edwards,87.3,5.7,5.2,2.9,2.7,2.2,2.1,1.9,1.2,0.4,-0.1,,,,
Hubert Davis,87.2,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1,-0.1,,
Josh Richardson,86.8,5.6,5.4,3.5,2.5,2.4,2.2,2.1,2.1,1.8,-0.1,,,,
Buddy Hield,86.5,5.9,4.4,3.5,3.0,2.8,2.8,2.2,1.9,1.3,,,,,
Kevin Grevey,86.3,5.8,4.4,3.6,3.4,3.3,2.1,2.0,1.0,0.7,0.1,,,,
Foots Walker,85.6,6.1,5.2,4.2,3.4,3.4,3.0,2.3,1.5,1.5,0.3,,,,
