"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
P.J. Washington,,3.4,2.7,2.6,2.4,2.0,1.9
Reggie Evans,92.5,3.8,3.0,2.7,2.3,2.1,1.7
James Ennis III,89.3,3.1,3.1,2.6,2.4,1.9,0.9
Othella Harrington,89.2,3.0,3.0,2.5,2.2,1.7,1.4
Derrick Williams,88.2,3.6,3.0,2.6,2.1,1.8,1.1
Lew Hitch,88.0,3.6,3.3,2.7,2.2,2.2,1.2
Dante Cunningham,87.5,3.5,3.4,2.9,2.0,1.9,1.6
Lorenzen Wright,87.3,3.2,3.2,3.1,2.2,2.2,1.4
Edgar Jones,87.1,3.4,3.4,2.6,2.4,2.3,0.9
Lavoy Allen,86.9,3.7,2.8,2.5,1.7,1.6,1.5
Rodney Rogers,86.2,3.9,3.3,2.9,2.3,2.0,1.2
