"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Aaron Wiggins,,5.4,3.7,2.6,1.2,,
Rudy FernÃ¡ndez,90.8,6.1,3.8,3.0,1.2,,
Skeeter Swift,83.9,4.3,3.4,2.7,1.8,0.0,
Isaiah Joe,83.6,5.1,3.8,3.5,0.6,0.4,
Luguentz Dort,82.6,5.6,4.6,2.9,1.4,0.8,0.3
Jalen Green,82.2,5.1,3.1,1.8,0.7,,
Don Carlson,81.7,5.8,2.8,2.6,0.2,,
Quentin Grimes,81.7,4.8,3.4,1.4,1.3,,
Luther Head,81.6,5.7,3.5,3.5,0.9,0.6,0.6
Billy Kenville,81.3,4.5,3.9,3.0,1.4,0.5,0.4
Mitchell Wiggins,81.3,5.4,3.5,3.3,2.0,1.2,-0.1
