"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2016-17,24,CHI,NBA,PG,5.0,2.0,52.0,0.261,16.7,0.609,0.304,0.0,0.261,0.043,0.391,0.357,0.571,0.0,1.0,0.111,0.8,1.0,0.0,0.0,0.333,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-19,26,ORL,NBA,PG,3.0,0.0,14.0,0.2,22.7,0.3,0.1,0.0,0.0,0.2,0.7,0.667,1.0,,0.5,0.0,0.5,,0.0,0.0,0.0,,0.0,0.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,8.0,2.0,66.0,0.242,19.7,0.515,0.242,0.0,0.182,0.091,0.485,0.412,0.625,0.0,0.667,0.063,0.714,1.0,0.0,0.0,0.188,0.0,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,21.0,677.0,0.242,19.7,0.515,0.242,0.0,0.182,0.091,0.485,0.412,0.625,0.0,0.667,0.063,0.714,1.0,0.0,0.0,0.188,0.0,10.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),CHI (1 Yr),,5.0,2.0,52.0,0.261,16.7,0.609,0.304,0.0,0.261,0.043,0.391,0.357,0.571,0.0,1.0,0.111,0.8,1.0,0.0,0.0,0.333,0.0,1.0,0.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,3.0,0.0,14.0,0.2,22.7,0.3,0.1,0.0,0.0,0.2,0.7,0.667,1.0,,0.5,0.0,0.5,,0.0,0.0,0.0,,0.0,0.0,
