"('Thru 3 Years', 'Player')","('Thru 3 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')"
Ryan Humphrey,,0.1,0.0,-0.5
Brian Evans,24.8,1.5,0.1,0.1
Luke Jackson,19.4,0.1,0.1,0.0
Mouhamed Sene,-1.6,0.2,0.2,0.0
Jacky Dorsey,-3.7,0.2,0.2,-0.1
Maciej Lampe,-11.1,0.1,-0.1,-0.2
David Vaughn,-23.6,0.4,0.1,-0.1
Mike Farmer,-37.5,0.1,-0.1,-0.1
Mark Randall,-43.7,0.5,0.3,0.2
Dennis Bell,-44.1,0.1,0.0,0.0
David Thirdkill,-48.5,0.3,0.0,0.0
