"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Ryan Humphrey,,0.1,0.0,-0.5,
Brian Evans,24.8,1.5,0.1,0.1,
Mouhamed Sene,-1.6,0.2,0.2,0.0,
Jacky Dorsey,-3.7,0.2,0.2,-0.1,
Maciej Lampe,-11.1,0.1,-0.1,-0.2,
Mark Randall,-40.4,0.5,0.3,0.2,0.0
Dennis Bell,-44.1,0.1,0.0,0.0,
Alando Tucker,-49.3,0.2,0.1,0.0,
Luke Jackson,-49.8,0.1,0.1,0.0,0.0
Cedric Simmons,-50.5,0.3,0.0,-0.2,
J.J. Anderson,-56.5,2.3,0.2,0.1,
