Season,Team,Lg,Salary
2015-16,Minnesota Timberwolves,NBA,"$5,703,600"
2016-17,Minnesota Timberwolves,NBA,"$5,960,160"
2017-18,Minnesota Timberwolves,NBA,"$6,216,840"
2018-19,Minnesota Timberwolves,NBA,"$7,839,435"
2019-20,Minnesota Timberwolves,NBA,"$27,285,000"
2020-21,Minnesota Timberwolves,NBA,"$29,467,800"
2021-22,Minnesota Timberwolves,NBA,"$31,650,600"
2022-23,Minnesota Timberwolves,NBA,"$33,833,400"
2023-24,Minnesota Timberwolves,NBA,"$36,016,200"
2024-25,New York Knicks,NBA,"$49,205,800"
Career,(may be incomplete),,"$233,178,835"
