"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Willy HernangÃ³mez,,3.4,3.2,2.9,2.6,1.8,1.6,0.8,,,,
Luc Longley,89.6,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0.0,
Nat Clifton,86.9,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,,,
Vitaly Potapenko,85.2,3.4,3.1,2.5,2.2,1.5,1.1,1.0,0.5,0.2,0.1,-0.1
Leon Douglas,84.9,3.6,3.2,3.1,2.1,2.1,1.0,0.0,,,,
Jim Barnes,84.1,3.4,2.9,2.4,2.1,2.1,1.1,0.3,,,,
Joel Anthony,81.4,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2,
Meyers Leonard,80.9,3.0,2.8,2.4,2.2,2.1,1.4,1.1,0.6,0.3,0.0,
Kurt Nimphius,80.8,4.8,3.3,3.1,2.9,1.5,1.0,0.7,0.1,,,
Jim Davis,80.6,4.3,3.8,3.5,2.3,2.3,1.8,0.9,0.2,,,
Aron Baynes,80.2,4.1,3.9,3.0,3.0,2.4,2.1,1.0,0.6,0.1,,
