"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Willy HernangÃ³mez,,3.4,3.2,2.9,2.6,1.8,1.6,0.8
Leon Douglas,84.9,3.6,3.2,3.1,2.1,2.1,1.0,0.0
Wayne Cooper,84.8,4.1,3.5,2.9,2.9,2.8,1.5,1.2
Jim Barnes,84.1,3.4,2.9,2.4,2.1,2.1,1.1,0.3
Nat Clifton,84.0,3.7,3.3,2.4,2.1,1.8,1.6,-0.4
Duane Causwell,83.6,3.9,2.9,2.8,1.8,1.3,1.2,0.7
Marreese Speights,83.5,4.0,3.8,2.8,2.7,2.1,2.1,1.7
Jon Koncak,83.4,3.7,3.7,3.7,2.5,2.3,1.4,1.1
Vitaly Potapenko,83.1,3.4,3.1,2.5,2.2,1.5,0.5,0.2
Ian Mahinmi,83.0,3.4,3.3,2.3,2.1,1.8,0.7,0.2
Joe Kleine,82.6,3.1,2.6,2.6,2.3,1.2,1.0,0.9
