"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Etan Thomas,,4.5,2.7,2.5,1.6,1.6,1.3,0.2,0.2,0.1
Jon Leuer,89.6,4.5,2.7,2.0,1.4,1.3,0.9,0.2,0.1,
Lavoy Allen,88.7,3.7,2.8,2.5,1.7,1.6,1.5,,,
Tim Bassett,86.1,3.7,2.6,2.4,1.5,1.4,1.1,0.1,,
Darius Songaila,85.6,4.3,2.6,2.5,2.4,1.7,1.3,1.1,0.0,
James Bailey,84.7,4.9,2.9,2.3,2.0,1.9,1.0,0.6,0.4,0.3
David Benoit,82.6,4.6,3.9,2.3,2.0,1.6,1.6,0.7,,
Ed Manning,82.3,4.3,2.2,2.2,1.7,1.5,1.4,1.4,0.2,-0.3
John Brown,82.2,4.2,3.7,2.6,2.3,1.7,1.7,0.1,,
Kyle O'Quinn,82.1,4.8,3.9,2.5,1.6,1.6,1.4,1.1,1.0,
Danny Vranes,82.1,4.2,3.4,2.4,2.1,1.8,0.8,0.6,,
