Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2000-01,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2001-02,23,WAS,NBA,C,47,0,618,81,151,.536,0,0,81,151,.536,.536,41,74,.554,55,126,181,6,17,35,26,76,203,0,
2002-03,24,WAS,NBA,PF,38,0,513,61,124,.492,0,0,61,124,.492,.492,60,94,.638,70,95,165,3,8,23,33,66,182,0,
2003-04,25,WAS,NBA,C,79,15,1901,257,526,.489,0,0,257,526,.489,.489,191,295,.647,183,345,528,68,36,123,113,219,705,0,
2004-05,26,WAS,NBA,C,47,10,976,128,255,.502,0,0,128,255,.502,.502,76,144,.528,85,159,244,20,17,51,50,133,332,0,
2005-06,27,WAS,NBA,C,71,9,1121,131,246,.533,0,0,131,246,.533,.533,75,125,.600,99,180,279,14,20,68,51,148,337,0,
2006-07,28,WAS,NBA,C,65,32,1246,159,277,.574,0,0,159,277,.574,.574,77,138,.558,136,241,377,29,22,89,71,162,395,0,
2007-08,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness
2008-09,30,WAS,NBA,C,26,7,306,32,66,.485,0,0,32,66,.485,.485,16,23,.696,25,41,66,6,3,18,18,35,80,0,
2009-10,31,OKC,NBA,C,23,1,321,31,68,.456,0,0,31,68,.456,.456,13,22,.591,18,46,64,1,4,16,18,39,75,0,
2010-11,32,ATL,NBA,C,13,0,82,10,21,.476,0,0,10,21,.476,.476,12,15,.800,6,17,23,2,1,4,5,11,32,0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,409,74,7084,890,1734,.513,0,0,890,1734,.513,.513,561,930,.603,677,1250,1927,149,128,427,385,889,2341,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,15,1420,178,348,.513,0,0,178,348,.513,.513,112,186,.603,136,251,386,30,26,86,77,178,469,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (7 Yrs),WAS (7 Yrs),WAS (7 Yrs),WAS (7 Yrs),,373,73,6681,849,1645,.516,0,0,849,1645,.516,.516,536,893,.600,653,1187,1840,146,123,407,362,839,2234,0,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,23,1,321,31,68,.456,0,0,31,68,.456,.456,13,22,.591,18,46,64,1,4,16,18,39,75,0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,13,0,82,10,21,.476,0,0,10,21,.476,.476,12,15,.800,6,17,23,2,1,4,5,11,32,0,
