"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Shooting %', 'FG%')","('Shooting %', '2P%')","('Shooting %', 'eFG%')","('Shooting %', 'FT%')","('Shooting %', 'TS%')","('Shooting %', 'FTr')","('Shooting %', '3PAr')","('League-Adjusted', 'FG+')","('League-Adjusted', '2P+')","('League-Adjusted', 'eFG+')","('League-Adjusted', 'FT+')","('League-Adjusted', 'TS+')","('League-Adjusted', 'FTr+')","('League-Adjusted', '3PAr+')","('Unnamed: 22_level_0', 'Awards')"
2004-05,26,WAS,NBA,C,8.0,0.0,126.0,0.655,0.655,0.655,0.455,0.62,0.759,0.0,146.0,139.0,136.0,60.0,117.0,234.0,0.0,
2005-06,27,WAS,NBA,C,3.0,0.0,18.0,0.4,0.4,0.4,0.5,0.444,0.8,0.0,88.0,84.0,82.0,67.0,83.0,240.0,0.0,
2006-07,28,WAS,NBA,C,4.0,4.0,84.0,0.412,0.412,0.412,0.667,0.477,0.529,0.0,90.0,85.0,83.0,89.0,88.0,162.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
2009-10,31,OKC,NBA,C,2.0,0.0,17.0,0.833,0.833,0.833,1.0,0.872,0.333,0.0,181.0,169.0,166.0,132.0,161.0,111.0,0.0,
2010-11,32,ATL,NBA,C,1.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,18.0,4.0,252.0,0.559,0.559,0.559,0.541,0.571,0.627,0.0,123.0,117.0,115.0,72.0,107.0,193.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,
WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),,15.0,4.0,228.0,0.549,0.549,0.549,0.514,0.557,0.686,0.0,121.0,116.0,113.0,68.0,105.0,211.0,0.0,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,2.0,0.0,17.0,0.833,0.833,0.833,1.0,0.872,0.333,0.0,181.0,169.0,166.0,132.0,161.0,111.0,0.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,1.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
