Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2004-05,26,WAS,NBA,C,8.0,0.0,126.0,5.4,8.3,0.655,0.0,0.0,5.4,8.3,0.655,0.655,2.9,6.3,0.455,3.4,6.9,10.3,0.6,0.0,2.0,2.6,6.6,13.7,
2005-06,27,WAS,NBA,C,3.0,0.0,18.0,4.0,10.0,0.4,0.0,0.0,4.0,10.0,0.4,0.4,4.0,8.0,0.5,4.0,8.0,12.0,0.0,4.0,4.0,0.0,6.0,12.0,
2006-07,28,WAS,NBA,C,4.0,4.0,84.0,3.0,7.3,0.412,0.0,0.0,3.0,7.3,0.412,0.412,2.6,3.9,0.667,0.9,8.6,9.4,0.4,0.9,1.3,2.6,3.9,8.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,31,OKC,NBA,C,2.0,0.0,17.0,10.6,12.7,0.833,0.0,0.0,10.6,12.7,0.833,0.833,4.2,4.2,1.0,2.1,6.4,8.5,0.0,0.0,0.0,2.1,2.1,25.4,
2010-11,32,ATL,NBA,C,1.0,0.0,7.0,0.0,10.3,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,0.0,,5.1,0.0,5.1,0.0,0.0,0.0,0.0,5.1,0.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,18.0,4.0,252.0,4.7,8.4,0.559,0.0,0.0,4.7,8.4,0.559,0.559,2.9,5.3,0.541,2.6,7.3,9.9,0.4,0.6,1.7,2.3,5.3,12.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),,15.0,4.0,228.0,4.4,8.1,0.549,0.0,0.0,4.4,8.1,0.549,0.549,2.8,5.5,0.514,2.5,7.6,10.1,0.5,0.6,1.9,2.4,5.5,11.7,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,2.0,0.0,17.0,10.6,12.7,0.833,0.0,0.0,10.6,12.7,0.833,0.833,4.2,4.2,1.0,2.1,6.4,8.5,0.0,0.0,0.0,2.1,2.1,25.4,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,1.0,0.0,7.0,0.0,10.3,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,0.0,,5.1,0.0,5.1,0.0,0.0,0.0,0.0,5.1,0.0,
