"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 26_level_0', 'Awards')"
2000-01,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury,Did not play - injury
2001-02,23,WAS,NBA,C,47,0,618,.536,4.7,1.000,.483,.364,.113,.040,.000,.536,.671,.436,.353,.333,.654,.146,22,0,0,
2002-03,24,WAS,NBA,PF,38,0,513,.492,4.4,1.000,.476,.403,.113,.008,.000,.492,.593,.380,.429,1.000,.459,.145,16,0,0,
2003-04,25,WAS,NBA,C,79,15,1901,.489,4.4,1.000,.519,.346,.110,.025,.000,.489,.612,.374,.345,.154,.615,.188,90,0,0,
2004-05,26,WAS,NBA,C,47,10,976,.502,4.3,1.000,.471,.396,.122,.012,.000,.502,.658,.347,.419,.333,.594,.169,38,0,0,
2005-06,27,WAS,NBA,C,71,9,1121,.533,3.2,1.000,.573,.354,.065,.008,.000,.533,.681,.333,.313,.500,.473,.199,48,0,0,
2006-07,28,WAS,NBA,C,65,32,1246,.574,3.2,1.000,.599,.332,.054,.014,.000,.574,.663,.424,.467,.750,.579,.199,55,0,0,
2007-08,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness,Did not play - illness
2008-09,30,WAS,NBA,C,26,7,306,.485,3.5,1.000,.561,.364,.076,.000,.000,.485,.568,.417,.200,,.656,.197,13,0,0,
2009-10,31,OKC,NBA,C,23,1,321,.456,4.5,1.000,.485,.338,.162,.015,.000,.456,.606,.391,.091,1.000,.645,.103,5,0,0,
2010-11,32,ATL,NBA,C,13,0,82,.476,5.7,1.000,.381,.429,.048,.143,.000,.476,.500,.444,1.000,.333,.500,.190,3,0,0,
9 Yrs,9 Yrs,9 Yrs,9 Yrs,,409,74,7084,.513,4.2,1.000,.525,.359,.097,.019,.000,.513,.638,.380,.357,.364,.579,.179,290,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,15,1420,.513,4.2,1.000,.525,.359,.097,.019,.000,.513,.638,.380,.357,.364,.579,.179,58,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (7 Yrs),WAS (7 Yrs),WAS (7 Yrs),WAS (7 Yrs),,373,73,6681,.516,4.0,1.000,.528,.359,.095,.018,.000,.516,.641,.379,.372,.345,.577,.182,282,0,0,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,23,1,321,.456,4.5,1.000,.485,.338,.162,.015,.000,.456,.606,.391,.091,1.000,.645,.103,5,0,0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,13,0,82,.476,5.7,1.000,.381,.429,.048,.143,.000,.476,.500,.444,1.000,.333,.500,.190,3,0,0,
