Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2004-05,26,WAS,NBA,C,8.0,0.0,126.0,7.6,11.6,0.655,0.0,0.0,7.6,11.6,0.655,0.655,4.0,8.8,0.455,4.8,9.6,14.4,0.8,0.0,2.8,3.6,9.2,19.2,108.0,108.0,
2005-06,27,WAS,NBA,C,3.0,0.0,18.0,5.9,14.8,0.4,0.0,0.0,5.9,14.8,0.4,0.4,5.9,11.9,0.5,5.9,11.9,17.8,0.0,5.9,5.9,0.0,8.9,17.8,109.0,91.0,
2006-07,28,WAS,NBA,C,4.0,4.0,84.0,4.5,11.0,0.412,0.0,0.0,4.5,11.0,0.412,0.412,3.9,5.8,0.667,1.3,12.9,14.2,0.6,1.3,1.9,3.9,5.8,12.9,79.0,107.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,31,OKC,NBA,C,2.0,0.0,17.0,15.6,18.7,0.833,0.0,0.0,15.6,18.7,0.833,0.833,6.2,6.2,1.0,3.1,9.3,12.5,0.0,0.0,0.0,3.1,3.1,37.4,145.0,109.0,
2010-11,32,ATL,NBA,C,1.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,,8.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,35.0,115.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,18.0,4.0,252.0,6.8,12.2,0.559,0.0,0.0,6.8,12.2,0.559,0.559,4.1,7.7,0.541,3.7,10.6,14.3,0.6,0.8,2.5,3.3,7.7,17.8,101.0,107.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),WAS (3 Yrs),,15.0,4.0,228.0,6.4,11.6,0.549,0.0,0.0,6.4,11.6,0.549,0.549,4.1,8.0,0.514,3.7,11.0,14.6,0.7,0.9,2.7,3.4,8.0,16.9,99.0,106.0,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,2.0,0.0,17.0,15.6,18.7,0.833,0.0,0.0,15.6,18.7,0.833,0.833,6.2,6.2,1.0,3.1,9.3,12.5,0.0,0.0,0.0,3.1,3.1,37.4,145.0,109.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,1.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,,8.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,35.0,115.0,
