PLAYER_ID  ,FIRST_NAME ,LAST_NAME      ,cbb_url                                                                   ,Season  ,Team                   ,Conf      ,Class ,Pos ,G    ,GS   ,MP     ,FG    ,FGA   ,FG%   ,3P    ,3PA   ,3P%   ,2P    ,2PA   ,2P%   ,eFG%  ,FT    ,FTA   ,FT%   ,ORB   ,DRB   ,TRB   ,AST   ,STL   ,BLK   ,TOV   ,PF    ,PTS   ,Awards
12136      ,Marcus     ,Goree          ,https://www.sports-reference.com/cbb/players/marcus-goree-1.html          ,1999-00 ,West Virginia          ,Big East  ,SR    ,F   ,28   ,27   , 973   ,159   ,299   ,0.532 , 21   , 55   ,0.382 ,138   ,244   ,0.566 ,0.567 , 66   , 93   ,0.71  , 76.0 ,155.0 ,231   , 52   , 44   , 70   , 70   , 64   ,405   ,
12135      ,Ceedric    ,Goodwyn        ,https://www.sports-reference.com/cbb/players/ceedric-goodwyn-1.html       ,1999-00 ,Colorado State         ,MWC       ,SR    ,F   ,30   ,29   , 826   ,197   ,384   ,0.513 , 37   , 88   ,0.42  ,160   ,296   ,0.541 ,0.561 ,102   ,146   ,0.699 , 29.0 ,107.0 ,136   , 76   , 25   , 37   ,101   , 92   ,533   ,
2109       ,Eddie      ,Gill           ,https://www.sports-reference.com/cbb/players/eddie-gill-1.html            ,1999-00 ,Weber State            ,Big Sky   ,SR    ,G   ,28   ,28   ,1009   ,128   ,325   ,0.394 , 52   ,142   ,0.366 , 76   ,183   ,0.415 ,0.474 ,149   ,173   ,0.861 ,      ,      ,179   ,194   , 90   ,  8   ,110   , 74.0 ,457   ,
2508       ,Gabe       ,Muoneke        ,https://www.sports-reference.com/cbb/players/gabe-muoneke-1.html          ,1999-00 ,Texas                  ,Big 12    ,SR    ,F   ,33   ,25   , 947   ,167   ,317   ,0.527 ,  8   , 38   ,0.211 ,159   ,279   ,0.57  ,0.539 ,111   ,185   ,0.6   , 75.0 ,134.0 ,209   , 63   , 30   , 19   , 95   , 93   ,453   ,
12134      ,Schea      ,Cotton         ,https://www.sports-reference.com/cbb/players/schea-cotton-1.html          ,1999-00 ,Alabama                ,SEC       ,SO    ,G   ,27   ,20   , 748   ,136   ,317   ,0.429 , 14   , 55   ,0.255 ,122   ,262   ,0.466 ,0.451 ,132   ,184   ,0.717 , 47   , 75   ,122   , 42   , 24   ,  5   , 93   , 59   ,418   ,
12030      ,Jameel     ,Watkins        ,https://www.sports-reference.com/cbb/players/jameel-watkins-1.html        ,1999-00 ,Georgetown             ,Big East  ,SR    ,C   ,34   ,23   , 417   , 55   ,132   ,0.417 ,  0   ,  0   ,      , 55   ,132   ,0.417 ,0.417 , 29   , 59   ,0.492 , 48.0 , 64.0 ,112   ,  7   , 15   , 38   , 45   , 50   ,139   ,
12029      ,Jaquay     ,Walls          ,https://www.sports-reference.com/cbb/players/jaquay-walls-1.html          ,1999-00 ,Colorado               ,Big 12    ,SR    ,G   ,32   ,32   , 985   ,167   ,379   ,0.441 , 57   ,147   ,0.388 ,110   ,232   ,0.474 ,0.516 ,153   ,203   ,0.754 , 23.0 , 78.0 ,101   ,144   , 49   ,  7   , 82   , 87   ,544   ,
12028      ,Bootsy     ,Thornton       ,https://www.sports-reference.com/cbb/players/bootsy-thornton-1.html       ,1999-00 ,St. John's (NY)        ,Big East  ,SR    ,G   ,33   ,33   ,1164   ,201   ,414   ,0.486 , 55   ,155   ,0.355 ,146   ,259   ,0.564 ,0.552 , 47   , 82   ,0.573 , 70.0 ,110.0 ,180   , 95   , 79   , 11   , 63   , 73   ,504   ,
12027      ,Jarrett    ,Stephens       ,https://www.sports-reference.com/cbb/players/jarrett-stephens-1.html      ,1999-00 ,Penn State             ,Big Ten   ,SR    ,F   ,35   ,35.0 ,1222   ,260   ,459   ,0.566 ,  5   , 17   ,0.294 ,255   ,442   ,0.577 ,0.572 ,132   ,189   ,0.698 ,144.0 ,224.0 ,368   , 50   , 62   , 20   , 84.0 , 75.0 ,657   ,
12026      ,Nick       ,Sheppard       ,https://www.sports-reference.com/cbb/players/nick-sheppard-1.html         ,1999-00 ,Pepperdine             ,WCC       ,SR    ,C   ,34   ,34   , 763   ,124   ,214   ,.579  ,  0   ,  0   ,      ,124   ,214   ,.579  ,.579  , 62   ,104   ,.596  , 85   ,142   ,227   , 24   , 26   , 13   , 64   ,114   ,310   ,
