"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Wendell Carter Jr.,,5.0,4.6,4.6,4.4,3.4,3.3,1.9,,,,
Steve Johnson,90.0,4.9,4.4,4.4,4.4,3.1,2.4,1.7,1.3,0.2,0.0,
Kevin Duckworth,89.1,5.2,4.8,4.8,4.3,3.3,2.5,0.8,0.0,-0.1,-0.2,-0.5
Kelvin Cato,88.2,5.3,4.6,4.3,4.2,3.8,2.7,1.7,1.6,0.3,0.1,
Nerlens Noel,88.0,5.2,4.9,4.3,4.0,4.0,3.0,1.5,1.3,0.0,,
Matt Geiger,85.4,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,
Lloyd Neal,84.4,4.8,4.7,4.3,4.3,2.9,1.8,-0.1,,,,
Sam Bowie,84.3,5.7,4.7,4.6,4.3,2.6,2.4,1.1,0.8,0.5,0.1,
John Gianelli,81.2,5.5,4.4,3.6,3.2,3.0,2.5,1.2,-0.4,,,
Walter Dukes,80.6,4.2,3.9,3.7,3.3,3.2,2.8,2.4,0.5,,,
Eddy Curry,79.9,4.7,4.3,3.5,3.3,3.0,1.8,1.7,0.0,-0.1,-0.1,-0.3
