Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2010-11,22,MIA,NBA,C,2.0,0.0,11.0,1.0,3.0,0.333,0.0,0.0,1.0,3.0,0.333,0.333,0.0,0.0,,1.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,
2011-12,23,MIA,NBA,C,35.0,6.0,301.0,44.0,94.0,0.468,0.0,0.0,44.0,94.0,0.468,0.468,18.0,28.0,0.643,27.0,44.0,71.0,9.0,8.0,8.0,17.0,73.0,106.0,0.0,
2012-13,24,2TM,NBA,C,11.0,0.0,32.0,4.0,11.0,0.364,0.0,0.0,4.0,11.0,0.364,0.364,0.0,3.0,0.0,7.0,5.0,12.0,0.0,0.0,0.0,3.0,8.0,8.0,0.0,
2012-13,24,MIA,NBA,C,4.0,0.0,12.0,3.0,5.0,0.6,0.0,0.0,3.0,5.0,0.6,0.6,0.0,0.0,,4.0,3.0,7.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,
2012-13,24,MEM,NBA,C,7.0,0.0,20.0,1.0,6.0,0.167,0.0,0.0,1.0,6.0,0.167,0.167,0.0,3.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,
2013-14,25,ATL,NBA,C,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,50.0,6.0,347.0,49.0,109.0,0.45,0.0,0.0,49.0,109.0,0.45,0.45,18.0,33.0,0.545,38.0,51.0,89.0,9.0,8.0,8.0,22.0,83.0,116.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,10.0,569.0,80.0,179.0,0.45,0.0,0.0,80.0,179.0,0.45,0.45,30.0,54.0,0.545,62.0,84.0,146.0,15.0,13.0,13.0,36.0,136.0,190.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),MIA (3 Yrs),,41.0,6.0,324.0,48.0,102.0,0.471,0.0,0.0,48.0,102.0,0.471,0.471,18.0,28.0,0.643,32.0,49.0,81.0,9.0,8.0,8.0,21.0,79.0,114.0,0.0,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,7.0,0.0,20.0,1.0,6.0,0.167,0.0,0.0,1.0,6.0,0.167,0.167,0.0,3.0,0.0,3.0,2.0,5.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,
ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),ATL (1 Yr),,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
