"('Thru 6 Years', 'Player')","('Thru 6 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Sterling Brown,,2.1,1.8,1.1,0.8,0.7,0.0
Claude Terry,89.7,2.4,1.8,1.0,1.0,0.8,0.0
Hamidou Diallo,89.2,2.1,1.6,1.3,0.8,0.4,0.0
Al Bianchi,86.9,2.4,1.8,1.5,0.8,0.8,-0.1
Joe Hassett,85.5,2.0,1.6,1.4,0.9,0.5,0.0
Talen Horton-Tucker,84.7,2.1,1.1,1.1,0.8,0.8,0.1
Marcus Banks,84.4,2.3,1.9,0.8,0.7,0.4,0.0
Alonzo Gee,83.5,2.4,1.9,1.2,1.0,0.9,0.4
Nelson Bobb,83.0,2.0,1.8,1.2,1.1,,
Dave Wohl,83.0,2.1,1.7,1.4,1.0,0.2,0.0
John Wetzel,82.2,2.0,1.5,1.1,0.7,0.5,0.5
