"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Sterling Brown,,2.1,1.8,1.1,0.8,0.7,0.0,,
Claude Terry,89.7,2.4,1.8,1.0,1.0,0.8,0.0,,
Hamidou Diallo,89.2,2.1,1.6,1.3,0.8,0.4,0.0,,
Joe Hassett,85.5,2.0,1.6,1.4,0.9,0.5,0.0,,
Talen Horton-Tucker,84.7,2.1,1.1,1.1,0.8,0.8,0.1,,
Nelson Bobb,83.0,2.0,1.8,1.2,1.1,,,,
Marcus Banks,81.9,2.3,1.9,0.8,0.7,0.5,0.4,0.0,0.0
Dave Wohl,80.5,2.1,1.7,1.4,1.0,0.2,0.0,-0.2,
Mike Barr,80.1,2.7,1.7,1.4,0.7,0.4,,,
Jerry Fleishman,79.5,2.2,2.1,1.6,1.3,0.6,,,
Hollis Thompson,78.4,2.6,2.0,1.2,0.7,,,,
