"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Nassir Little,,1.7,1.1,0.7,0.7,0.6,,
Henry Walker,88.1,1.9,1.1,0.9,0.5,0.5,,
Pete Verhoeven,84.3,2.1,1.2,0.8,0.7,0.4,0.0,
Timoth̩ Luwawu-Cabarrot,81.4,1.7,0.9,0.8,0.8,0.3,0.2,
Gary Gregor,79.8,1.4,1.1,0.8,0.5,0.5,-0.4,
Bob Portman,79.6,1.9,1.2,0.8,0.5,,,
Semi Ojeleye,79.2,1.9,1.2,1.2,0.7,0.2,,
Tony Brown,78.5,1.8,1.3,0.9,0.5,0.2,0.2,0.0
Julian Wright,78.4,1.7,0.8,0.8,0.6,,,
Byron Houston,77.9,1.8,0.9,0.7,0.5,,,
Chuma Okeke,77.9,2.2,1.3,0.7,0.6,0.3,,
