"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
O.J. Mayo,,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1
Jeremy Lin,91.5,5.4,4.4,3.5,2.7,2.7,2.1,0.5,0.0
Bob Weiss,89.0,5.6,4.7,4.3,3.6,2.9,1.7,0.1,0.0
Carlos Delfino,88.2,4.8,4.0,3.5,3.5,2.9,2.4,1.0,0.5
Pat Connaughton,88.1,4.4,3.9,3.5,3.4,2.5,2.5,0.6,-0.2
J.R. Smith,87.7,5.8,5.0,3.7,3.7,2.7,2.5,1.2,0.2
Evan Fournier,87.2,5.7,4.6,3.3,3.2,2.8,2.1,1.4,1.0
John Williamson,87.0,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3
Kevin Grevey,86.8,5.8,4.4,3.6,3.4,3.3,1.0,0.7,0.1
Lionel Hollins,86.7,5.2,4.0,3.4,2.9,2.3,1.8,0.6,0.1
Terance Mann,86.0,5.5,4.3,4.2,3.7,3.0,0.8,,
