"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')"
Nemanja Bjelica,,5.3,4.5,3.0,2.8,1.9,1.5,0.9,,,
Kenny Walker,88.9,4.7,4.0,3.1,2.7,1.9,1.3,0.1,,,
Buck Johnson,87.9,6.2,4.6,3.6,2.3,2.1,1.2,0.7,,,
Paul Griffin,87.0,4.9,4.4,4.1,2.9,1.6,1.4,0.4,,,
Pat Garrity,86.8,5.1,4.9,2.8,2.5,1.2,1.1,1.1,0.2,0.0,-0.2
Andray Blatche,85.5,4.9,3.7,3.4,3.0,2.4,1.4,0.5,0.1,-0.1,
Earl Lloyd,85.4,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,
Donald Royal,85.2,5.1,3.8,3.6,2.3,1.6,1.3,1.0,0.4,,
Scott May,84.6,5.4,4.2,3.1,2.4,2.2,0.1,-0.1,,,
Andr̩s Nocioni,84.5,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,,
Michael Kidd-Gilchrist,84.4,5.8,3.8,3.3,3.1,2.5,2.1,0.6,-0.2,,
