"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Donovan Mitchell,,8.9,7.6,7.2,6.4,6.2,5.4,5.2,5.0
Dennis Johnson,94.1,8.4,8.1,7.4,6.6,6.6,5.8,5.7,4.5
Mitch Richmond,93.4,9.3,8.0,7.1,6.4,5.6,5.2,4.9,3.1
Michael Finley,92.7,8.5,8.3,7.5,6.7,6.3,6.3,5.4,3.9
Rolando Blackman,92.3,9.8,8.0,7.3,7.0,6.8,5.7,5.7,4.1
Andy Phillip,92.0,9.7,7.7,7.4,7.2,7.1,5.5,4.8,3.8
Rod Strickland,90.8,9.3,8.5,7.4,7.1,5.7,5.2,4.3,3.7
Andre Miller,90.3,10.3,8.8,8.0,7.0,6.2,5.9,5.3,4.6
Jo Jo White,90.1,8.0,7.4,7.3,6.7,6.5,6.1,5.4,2.0
Carl Braun,89.8,9.0,8.6,7.2,6.2,5.3,4.7,3.7,3.6
George Hill,89.7,9.7,7.8,6.7,6.2,6.1,5.4,4.0,2.1
