"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')"
Donovan Mitchell,,8.9,7.6,7.2,6.4,6.2,5.4,5.2,5.0,,,,,,,
Pete Maravich,88.1,7.6,7.6,7.1,6.4,6.2,4.2,3.9,2.9,0.5,0.1,,,,,
Fred VanVleet,87.8,8.4,6.7,6.5,5.8,5.2,4.7,4.3,4.3,0.2,,,,,,
Freddie Lewis,86.9,7.6,7.5,7.3,7.2,6.2,6.0,5.2,3.2,3.0,0.5,0.0,,,,
Tom Gola,86.2,9.9,7.4,7.1,6.8,6.5,4.4,4.4,3.4,1.7,1.7,,,,,
Cuttino Mobley,86.2,8.2,7.6,6.9,5.7,5.3,5.2,4.6,4.4,2.3,2.1,-0.1,,,,
Devin Booker,85.7,9.2,7.6,7.5,6.4,6.0,4.9,3.5,2.4,2.0,1.9,,,,,
Bob Davies,85.7,8.6,7.7,7.7,7.4,6.9,6.3,5.2,,,,,,,,
Jo Jo White,84.9,8.0,7.4,7.3,6.7,6.5,6.1,5.4,2.0,1.7,1.5,1.1,0.1,,,
Doug Christie,84.3,8.9,8.7,8.6,7.0,5.7,5.1,4.2,4.0,1.4,1.4,0.9,0.1,0.1,-0.1,-0.3
Allan Houston,84.1,8.6,7.5,7.2,7.1,6.1,4.7,4.7,3.8,3.1,2.9,0.7,-1.2,,,
